year,player,team_pos,direction,quote,source
2026,Travis Hunter,JAX WR/CB,positive,"“Maybe most impressive practice of his career” — two deep catches and an INT; snaps lean corner, 34–22 through four days","Michael DiRocco’s 11-on-11 snap tracker · ESPN, via X"
2026,Travis Hunter,JAX WR/CB,positive,"“Today … at Jags practice … is: Travis Hunter day! … But, wow.”","Frank Frangie, voice of the Jaguars, from the sideline · X"
2026,Blake Corum,LAR RB,positive,“a big part of the offense”,2026 Fantasy Football Stock Report: Training Camp · WalterFootball
2026,Ricky Pearsall,SF WR,negative,“PCL complications may require surgery”,2026 Fantasy Football Stock Report: Training Camp · WalterFootball
2026,Jadarian Price,SEA RB,positive,“catching plenty of passes”,2026 Fantasy Football Stock Report: Training Camp · WalterFootball
2026,Cyrus Allen,KC WR,positive,“Most impressive receiver in Chiefs camp thus far”,2026 Fantasy Football Stock Report: Training Camp · WalterFootball
2026,Jeremiyah Love,ARI RB,negative,“Tyler Allgeier received first reps”,2026 Fantasy Football Stock Report: Training Camp · WalterFootball
2026,Chris Brazzell II,CAR WR,negative,“out up to eight weeks”,2026 Fantasy Football Stock Report: Training Camp · WalterFootball
2026,Kyler Murray,MIN QB,negative,“mix of impressive flashes and avoidable errors”,2 key Vikings struggling early during 2026 NFL training camp · ClutchPoints
2026,Kobe Prentice,NE WR,negative,“Physical press coverage has repeatedly disrupted his routes”,2 key Patriots struggling early during 2026 NFL training camp · ClutchPoints
2026,Zachariah Branch,ATL WR,positive,“Nightmare for opposing cornerbacks in training camp”,2026 Fantasy Football Stock Report: Training Camp · WalterFootball
2026,Quinshon Judkins,CLE RB,positive,“all three downs”,2026 Fantasy Football Stock Report: Training Camp · WalterFootball
2026,Kaelon Black,SF RB,positive,“Now No. 2 back behind McCaffrey due to injuries ahead”,2026 Fantasy Football Stock Report: Training Camp · WalterFootball
2026,Kayshon Boutte,NE WR,positive,“Best receiver in New England training camp”,2026 Fantasy Football Stock Report: Training Camp · WalterFootball
2026,Marvin Harrison Jr.,ARI WR,negative,“Struggling with drops; running with backups”,2026 Fantasy Football Stock Report: Training Camp · WalterFootball
2026,Luther Burden,CHI WR,positive,“buy stock in Luther Burden”,2026 Fantasy Football Stock Report: Training Camp · WalterFootball
2026,Jaylin Noel,HOU WR,positive,“Consistently making plays”,2026 Fantasy Football Stock Report: Training Camp · WalterFootball
2026,Bhayshul Tuten,JAX RB,positive,“Picking up steam”,2026 Fantasy Football Stock Report: Training Camp · WalterFootball
2026,TreVeyon Henderson,NE RB,positive,“Worked on blocking; improved trust with team expected”,2026 Fantasy Football Stock Report: Training Camp · WalterFootball
2026,Chris Brooks,GB RB,positive,“Opportunity arises from Jacobs legal issues”,2026 Fantasy Football Stock Report: Training Camp · WalterFootball
2026,MarShawn Lloyd,GB RB,positive,“Ceiling play if Jacobs sidelined”,2026 Fantasy Football Stock Report: Training Camp · WalterFootball
2026,Harold Fannin,CLE TE,positive,“Full-go”,2026 Fantasy Football Stock Report: Training Camp · WalterFootball
2026,Omarion Hampton,LAC RB,positive,“Coach compared to Terrell Davis”,2026 Fantasy Football Stock Report: Training Camp · WalterFootball
2026,Cam Ward,TEN QB,negative,“Highly inaccurate”,2026 Fantasy Football Stock Report: Training Camp · WalterFootball
2026,Malik Willis,MIA QB,negative,“Needs the most work”,2026 Fantasy Football Stock Report: Training Camp · WalterFootball
2026,Malik Nabers,NYG WR,negative,“pushing the envelope”,"August 1, 2026 New York Giants Training Camp Report · Big Blue Interactive"
2026,Jaxson Dart,NYG QB,positive,“beautifully lofted touch”,"August 1, 2026 New York Giants Training Camp Report · Big Blue Interactive"
2026,Jameis Winston,NYG QB,positive,“18-yard TD pass to Odell Beckham Jr.”,"August 1, 2026 New York Giants Training Camp Report · Big Blue Interactive"
2026,Theo Johnson,NYG TE,positive,“long TD reception from Dart”,"August 1, 2026 New York Giants Training Camp Report · Big Blue Interactive"
2026,Odell Beckham Jr.,NYG WR,positive,“18-yard TD catch in back of end zone”,"August 1, 2026 New York Giants Training Camp Report · Big Blue Interactive"
2026,Malachi Fields,NYG WR,positive,“received first-team snaps”,"August 1, 2026 New York Giants Training Camp Report · Big Blue Interactive"
2026,Isaiah Likely,NYG TE,positive,“caught four of six targets in team drills”,"August 1, 2026 New York Giants Training Camp Report · Big Blue Interactive"
2026,Cole Kmet,CHI TE,positive,“understanding how you fit”,"Bears training camp report: Saturday, Aug. 1 · ChicagoBears.com"
2026,Andrei Iosivas,CIN WR,positive,“He looks great... fast and explosive”,Five Observations from Day 4 of Bengals Training Camp · Bengals.com
2026,Dontayvion Wicks,PHI WR,positive,“off to a nice start”,Eagles training camp observations: Jalen Carter and defense dominate · NBC Sports Philadelphia
2026,Johnny Wilson,PHI TE,negative,“rip the ball out of his hands”,Eagles training camp observations: Jalen Carter and defense dominate · NBC Sports Philadelphia
2026,Parker Washington,JAX WR,positive,“one of the stars of the early stages of training camp”,Fantasy Stock Watch: Training Camp Edition · Footballguys
2026,Parker Washington,JAX WR,positive,“ready to kill”,"2026 Fantasy Football Rankings: Stock Up, Stock Down (July 31) · Wolf Sports"
2026,Isaiah Likely,NYG TE,positive,“being targeted on the regular by his new quarterback”,Fantasy Stock Watch: Training Camp Edition · Footballguys
2026,Blake Corum,LAR RB,positive,“stud”,"2026 Fantasy Football Rankings: Stock Up, Stock Down (July 31) · Wolf Sports"
2026,Zach Charbonnet,SEA RB,positive,“close call”,"2026 Fantasy Football Rankings: Stock Up, Stock Down (July 31) · Wolf Sports"
2026,Braelon Allen,NYJ RB,positive,"“Bulked to 250 lbs, impressed in camp”","2026 Fantasy Football Rankings: Stock Up, Stock Down (July 31) · Wolf Sports"
2026,Quentin Johnston,LAC WR,positive,“too low”,"2026 Fantasy Football Rankings: Stock Up, Stock Down (July 31) · Wolf Sports"
2026,Cooper Kupp,SEA WR,positive,“looked great”,"2026 Fantasy Football Rankings: Stock Up, Stock Down (July 31) · Wolf Sports"
2026,Rashod Bateman,BAL WR,positive,“shown flashes of being a real problem”,"2026 Fantasy Football Rankings: Stock Up, Stock Down (July 31) · Wolf Sports"
2026,Malik Washington,MIA WR,positive,“do-it-all weapon”,"2026 Fantasy Football Rankings: Stock Up, Stock Down (July 31) · Wolf Sports"
2026,Brian Thomas Jr.,JAX WR,negative,“longshot”,"2026 Fantasy Football Rankings: Stock Up, Stock Down (July 31) · Wolf Sports"
2026,Ricky Pearsall,SF WR,negative,“still a mystery”,"2026 Fantasy Football Rankings: Stock Up, Stock Down (July 31) · Wolf Sports"
2026,Noah Thomas,CIN WR,positive,"“That's an explosive, and that's what we need. That's another Tee Higgins.”",Bengals UDFA turning heads at training camp with Ja'Marr Chase praise · Bengals Wire (USA Today) via Yahoo Sports
2026,Josh Jacobs,GB RB,positive,“suspension this year now looking more unlikely”,"2026 Fantasy Football Rankings: Stock Up, Stock Down (July 31) · Wolf Sports"
2026,Zay Flowers,BAL WR,positive,“getting the ball in as many ways as possible”,"2026 Fantasy Football Rankings: Stock Up, Stock Down (July 31) · Wolf Sports"
2026,Courtland Sutton,DEN WR,positive,“favorable coverage”,"2026 Fantasy Football Rankings: Stock Up, Stock Down (July 31) · Wolf Sports"
2026,Rome Odunze,CHI WR,positive,“foot injury... a thing of the past”,"2026 Fantasy Football Rankings: Stock Up, Stock Down (July 31) · Wolf Sports"
